종목코드,업종
060380,철강
060480,비철금속
060540,핸드셋
060560,건축자재
060570,방송과엔터테인먼트
060590,제약
060720,핸드셋
061040,핸드셋
061250,제약
063080,게임엔터테인먼트
063170,판매업체
063440,방송과엔터테인먼트
063570,IT서비스
064090,판매업체
064240,핸드셋
064260,IT서비스
064290,반도체와반도체장비
064480,IT서비스
064520,반도체와반도체장비
064550,생물공학
064820,증권
065060,"섬유,의류,신발,호화품"
065130,핸드셋
065150,식품
065170,제약
065350,가정용기기와용품
065420,석유와가스
065440,IT서비스
065450,우주항공과국방
065500,자동차부품
065510,건강관리장비와용품
065570,조선
065650,컴퓨터와주변기기
065680,핸드셋
065690,컴퓨터와주변기기
065710,운송인프라
065530,무선통신서비스
065660,제약
065770,통신장비
065950,건설
066310,반도체와반도체장비
066590,자동차부품
066620,건설
066700,제약
066790,방송과엔터테인먼트
066900,전자장비와기기
066910,레저용장비와제품
066980,건설
067000,게임엔터테인먼트
067010,IT서비스
067080,제약
067170,가정용기기와용품
067280,교육서비스
067290,제약
067310,반도체와반도체장비
066130,가정용기기와용품
066410,IT서비스
067390,우주항공과국방
067570,자동차부품
067730,IT서비스
067770,디스플레이장비및부품
067900,해운사
067990,자동차
068050,방송과엔터테인먼트
068240,기계
068330,생명과학도구및서비스
068760,제약
068790,디스플레이장비및부품
068930,교육서비스
069140,상업서비스와공급품
069330,디스플레이장비및부품
069410,IT서비스
069510,전자장비와기기
069920,인터넷과카탈로그소매
070300,핸드셋
070590,IT서비스
071200,건강관리기술
071280,반도체와반도체장비
071670,기계
071850,자동차부품
072020,제약
215360,자동차부품
215360,자동차부품
072520,제약
072770,IT서비스
072870,교육서비스
072950,전자장비와기기
073010,조선
073110,디스플레이장비및부품
073190,가구
073490,통신장비
073540,통신장비
073640,기계
074430,제약
075130,소프트웨어
075970,비철금속
076080,건설
076610,핸드셋
077360,반도체와반도체장비
078070,통신장비
078130,종이와목재
078140,제약
078150,디스플레이장비및부품
078160,생물공학
078350,반도체와반도체장비
078590,자동차부품
078600,전자장비와기기
078940,자동차부품
079000,건축제품
079170,비철금속
079190,핸드셋
079370,반도체와반도체장비
079650,건축자재
079810,전기제품
079940,IT서비스
079950,디스플레이장비및부품
079960,전기제품
079970,소프트웨어
080000,디스플레이장비및부품
080010,다각화된소비자서비스
080160,"호텔,레스토랑,레저"
080220,반도체와반도체장비
080420,전문소매
080470,자동차부품
080520,반도체와반도체장비
080530,화장품
080580,반도체와반도체장비
081150,비철금속
081580,핸드셋
082210,전자장비와기기
082270,반도체와반도체장비
082660,화장품
082850,디스플레이장비및부품
082920,전기제품
083310,반도체와반도체장비
083450,반도체와반도체장비
083470,디스플레이장비및부품
083550,"섬유,의류,신발,호화품"
083640,전자장비와기기
083650,에너지장비및서비스
083660,화장품
083930,전기제품
084370,반도체와반도체장비
084650,생명과학도구및서비스
084730,전자제품
084990,생물공학
085660,건강관리업체및서비스
085670,전자장비와기기
085810,소프트웨어
085910,자동차부품
086040,생명과학도구및서비스
086060,제약
086390,반도체와반도체장비
086520,화학
086670,기계
086890,제약
086900,생물공학
086980,방송과엔터테인먼트
087010,생물공학
087600,반도체와반도체장비
088130,디스플레이장비및부품
088290,자동차부품
088390,레저용장비와제품
088800,통신장비
088910,식품
089010,화학
089030,반도체와반도체장비
089150,컴퓨터와주변기기
089230,양방향미디어와서비스
089600,광고
089790,반도체와반도체장비
089850,전자제품
089890,반도체와반도체장비
089980,전자장비와기기
090150,자동차부품
090360,기계
090410,건축제품
090470,디스플레이장비및부품
090710,기계
090850,상업서비스와공급품
091120,핸드셋
091340,전자장비와기기
091440,통신장비
091580,전기제품
091590,건설
091970,화학
092040,생물공학
092070,반도체와반도체장비
092130,상업서비스와공급품
092300,전자장비와기기
092460,조선
092600,전자제품
092730,화장품
092870,반도체와반도체장비
093190,컴퓨터와주변기기
093320,IT서비스
093380,자동차부품
093520,반도체와반도체장비
093640,반도체와반도체장비
093920,핸드셋
094170,반도체와반도체장비
094360,반도체와반도체장비
094480,IT서비스
094820,건설
094840,전자장비와기기
094850,"호텔,레스토랑,레저"
094860,게임엔터테인먼트
094940,컴퓨터와주변기기
094970,디스플레이장비및부품
095190,기계
095270,통신장비
095340,반도체와반도체장비
095500,디스플레이장비및부품
095610,반도체와반도체장비
095700,생물공학
095910,에너지장비및서비스
096240,교육서비스
096530,생명과학도구및서비스
096610,반도체와반도체장비
096630,핸드셋
096690,컴퓨터와주변기기
096870,디스플레이장비및부품
097800,반도체와반도체장비
095660,게임엔터테인먼트
096350,
097870,화학
098120,반도체와반도체장비
098460,전자장비와기기
098660,"섬유,의류,신발,호화품"
099190,건강관리장비와용품
099220,에너지장비및서비스
099320,우주항공과국방
099410,조선
099440,기계
100030,소프트웨어
100120,건강관리장비와용품
100130,철강
100660,기계
100700,건강관리장비와용품
101000,조선
101160,반도체와반도체장비
101170,기계
101240,화학
101330,자동차부품
101390,핸드셋
101400,반도체와반도체장비
101490,반도체와반도체장비
101670,건설
101680,기계
101730,게임엔터테인먼트
101930,조선
102120,반도체와반도체장비
102710,반도체와반도체장비
102940,제약
104040,자동차부품
104200,방송과엔터테인먼트
104460,기계
104480,화학
104540,건강관리장비와용품
104830,화학
105330,반도체와반도체장비
105550,자동차부품
105740,기계
106080,핸드셋
106190,제약
106240,디스플레이장비및부품
106520,전자장비와기기
108230,디스플레이장비및부품
108380,조선
108860,건강관리장비와용품
109080,통신장비
109610,건축자재
109740,전자장비와기기
109820,생물공학
109860,기계
112040,게임엔터테인먼트
114190,전자장비와기기
114630,"섬유,의류,신발,호화품"
115440,통신장비
115450,건강관리장비와용품
115480,건강관리장비와용품
115500,IT서비스
119610,건강관리장비와용품
115530,디스플레이장비및부품
115610,핸드셋
113810,자동차부품
115160,전자제품
115180,제약
115570,화학
117670,반도체와반도체장비
119500,기계
114450,제약
115310,IT서비스
119850,전기장비
120240,화학
121440,레저용장비와제품
121600,화학
121800,디스플레이패널
122350,자동차부품
122450,방송과엔터테인먼트
121850,디스플레이장비및부품
121890,운송인프라
122640,반도체와반도체장비
122690,자동차부품
122990,핸드셋
123040,자동차부품
123330,화장품
123410,자동차부품
123420,게임엔터테인먼트
123570,광고
123840,핸드셋
123860,디스플레이장비및부품
124500,비철금속
126600,자동차부품
126640,자동차부품
126700,핸드셋
127120,생명과학도구및서비스
127710,출판
128660,비철금속
130500,자동차부품
